OFFENCE_YEAR,DIVISION,TICKET_TYPE,OFFENCE_CATEGORY,AGE_GROUP,HOOD_158,NEIGHBOURHOOD_158,TICKET_COUNT,ObjectId
2016,D23,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Unknown,6,Kingsview Village-The Westway,1,13109
2014,D42,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,144,Morningside Heights,4,13110
2016,D32,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,152,East Willowdale,2,13111
2015,D51,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,70,South Riverdale,11,13112
2014,D52,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,78,Kensington-Chinatown,38,13113
2021,D22,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,87,High Park-Swansea,1,13114
2017,D23,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,69,Blake-Jones,2,13115
2017,D13,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,106,Humewood-Cedarvale,491,13116
2017,D41,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,157,Bendale South,27,13117
2018,D22,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,159,Etobicoke City Centre,95,13118
2018,D33,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,46,Pleasant View,4,13119
2017,D52,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,NSA,NSA,286,13120
2016,D14,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,NSA,NSA,329,13121
2020,D43,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,143,West Rouge,2,13122
2022,D41,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,126,Dorset Park,124,13123
2017,D55,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,62,East End-Danforth,1,13124
2018,D41,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,125,Ionview,166,13125
2020,D32,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,31,Yorkdale-Glen Park,3,13126
2015,D11,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,85,South Parkdale,9,13127
2019,D11,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,83,Dufferin Grove,12,13128
2021,NSA,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,130,Milliken,3,13129
2021,D41,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,157,Bendale South,109,13130
2018,D53,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,97,Yonge-St.Clair,39,13131
2022,D51,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,166,St Lawrence-East Bayfront-The Islands,22,13132
2015,D23,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,9,Edenbridge-Humber Valley,1,13133
2017,D42,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,145,Malvern West,7,13134
2019,D52,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,166,St Lawrence-East Bayfront-The Islands,291,13135
2021,D51,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,167,Church-Wellesley,96,13136
2014,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,NSA,NSA,549,13137
2016,D55,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,62,East End-Danforth,35,13138
2016,D33,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,47,Don Valley Village,29,13139
2014,D14,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,78,Kensington-Chinatown,1,13140
2020,D53,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,174,South Eglinton-Davisville,9,13141
2017,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,58,Old East York,444,13142
2021,D52,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,165,Harbourfront-CityPlace,21,13143
2016,D33,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,40,St.Andrew-Windfields,32,13144
2016,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,65,Greenwood-Coxwell,3,13145
2020,D53,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,100,Yonge-Eglinton,5,13146
2021,D43,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,133,Centennial Scarborough,5,13147
2022,D52,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,78,Kensington-Chinatown,489,13148
2022,D41,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,125,Ionview,1,13149
2016,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,99,Mount Pleasant East,23,13150
2018,D42,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,143,West Rouge,2,13151
2016,D53,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,173,North Toronto,16,13152
2015,D43,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,142,Woburn North,395,13153
2019,D14,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,84,Little Portugal,73,13154
2022,D12,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,112,Beechborough-Greenbrook,1,13155
2018,D53,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,101,Forest Hill South,5,13156
2016,D41,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,NSA,NSA,1,13157
2022,D22,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,20,Alderwood,10,13158
2014,D43,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,139,Scarborough Village,2,13159
2017,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,96,Casa Loma,1,13160
2015,D51,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,NSA,NSA,669,13161
2020,D51,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,166,St Lawrence-East Bayfront-The Islands,2,13162
2022,NSA,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,144,Morningside Heights,3,13163
2016,D33,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,40,St.Andrew-Windfields,4,13164
2021,D52,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,NSA,NSA,2,13165
2022,D14,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,NSA,NSA,1,13166
2022,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,43,Victoria Village,4,13167
2021,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,61,Taylor-Massey,19,13168
2022,D12,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,91,Weston-Pelham Park,6,13169
2015,D33,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,118,Tam O'Shanter-Sullivan,6,13170
2018,D55,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,19,13171
2015,D33,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Youth,120,Clairlea-Birchmount,1,13172
2014,D11,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,41,13173
2014,D13,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,106,Humewood-Cedarvale,4,13174
2018,D33,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,44,Flemingdon Park,16,13175
2020,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,62,East End-Danforth,177,13176
2020,D55,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,58,Old East York,82,13177
2015,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,59,Danforth East York,2,13178
2017,D32,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Youth,151,Yonge-Doris,1,13179
2020,D14,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,80,Palmerston-Little Italy,1,13180
2020,D41,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,120,Clairlea-Birchmount,40,13181
2014,D22,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,12,Markland Wood,2,13182
2022,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,174,South Eglinton-Davisville,96,13183
2016,D14,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,172,Dovercourt Village,22,13184
2016,D14,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,85,South Parkdale,300,13185
2014,D31,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,23,Pelmo Park-Humberlea,7,13186
2021,D42,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Youth,144,Morningside Heights,3,13187
2017,D13,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,102,Forest Hill North,169,13188
2014,D12,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,111,Rockcliffe-Smythe,171,13189
2019,D51,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,166,St Lawrence-East Bayfront-The Islands,1,13190
2022,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,95,Annex,201,13191
2021,D23,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,NSA,NSA,188,13192
2016,D12,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,63,13193
2015,D31,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,155,Downsview,394,13194
2022,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,31,Yorkdale-Glen Park,1,13195
2021,D22,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,NSA,NSA,15,13196
2015,D13,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,92,Corso Italia-Davenport,4,13197
2014,D23,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,3,Thistletown-Beaumond Heights,3,13198
2019,D23,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,3,Thistletown-Beaumond Heights,104,13199
2015,D51,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,73,Moss Park,9,13200
2016,D22,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,161,Humber Bay Shores,3,13201
2019,D43,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,140,Guildwood,1,13202
2022,NSA,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,NSA,NSA,78,13203
2017,D41,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,122,Birchcliffe-Cliffside,2,13204
2017,D42,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,128,Agincourt South-Malvern West,2,13205
2016,D13,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,31,Yorkdale-Glen Park,156,13206
2016,D52,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,165,Harbourfront-CityPlace,167,13207
2021,D14,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,84,Little Portugal,20,13208
2015,D41,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,119,Wexford/Maryvale,1,13209
2017,D32,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,35,Westminster-Branson,6,13210
2015,D43,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,133,Centennial Scarborough,1,13211
2017,D52,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,170,Yonge-Bay Corridor,18,13212
2016,D14,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,164,Wellington Place,301,13213
2019,NSA,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,166,St Lawrence-East Bayfront-The Islands,2,13214
2014,D14,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,163,Fort York-Liberty Village,3,13215
2016,D31,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,NSA,NSA,237,13216
2019,D55,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,66,Danforth,4,13217
2017,D51,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,NSA,NSA,3,13218
2016,D52,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,78,Kensington-Chinatown,359,13219
2018,D52,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,11,13220
2021,D22,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,158,Islington,3,13221
2017,D41,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,157,Bendale South,10,13222
2017,D13,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,92,Corso Italia-Davenport,117,13223
2014,D53,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,103,Lawrence Park South,3,13224
2020,D52,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,164,Wellington Place,44,13225
2021,D51,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,73,Moss Park,4,13226
2018,D13,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,102,Forest Hill North,1,13227
2019,D55,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,65,Greenwood-Coxwell,2,13228
2019,D33,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,53,Henry Farm,1,13229
2021,D41,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,121,Oakridge,84,13230
2015,D14,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,80,Palmerston-Little Italy,48,13231
2016,D43,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,143,West Rouge,2,13232
2022,NSA,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,50,Newtonbrook East,2,13233
2019,D23,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,6,Kingsview Village-The Westway,13,13234
2016,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,63,The Beaches,452,13235
2018,D55,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,43,Victoria Village,21,13236
2021,D53,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,173,North Toronto,15,13237
2021,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,35,Westminster-Branson,35,13238
2015,D11,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,83,Dufferin Grove,52,13239
2022,D12,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,23,Pelmo Park-Humberlea,5,13240
2014,D14,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,85,South Parkdale,1,13241
2015,D13,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,106,Humewood-Cedarvale,7,13242
2018,NSA,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Youth,NSA,NSA,2,13243
2020,D32,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,52,Bayview Village,50,13244
2020,D42,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,144,Morningside Heights,76,13245
2017,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,57,Broadview North,43,13246
2019,NSA,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Youth,NSA,NSA,1,13247
2021,D22,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,16,Stonegate-Queensway,6,13248
2020,D43,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,136,West Hill,11,13249
2016,D42,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Youth,144,Morningside Heights,2,13250
2018,D31,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,25,Glenfield-Jane Heights,2,13251
2018,D14,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,165,Harbourfront-CityPlace,28,13252
2019,D11,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,88,High Park North,16,13253
2014,D41,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,NSA,NSA,12,13254
2018,D43,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,134,Highland Creek,9,13255
2017,D55,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,44,Flemingdon Park,75,13256
2016,D23,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,1,West Humber-Clairville,7,13257
2018,D31,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,25,Glenfield-Jane Heights,42,13258
2014,D51,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,72,Regent Park,118,13259
2015,D43,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,151,13260
2019,D43,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,139,Scarborough Village,1,13261
2021,D41,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,124,Kennedy Park,12,13262
2016,D42,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,119,Wexford/Maryvale,6,13263
2020,D55,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,44,Flemingdon Park,2,13264
2020,D52,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,170,Yonge-Bay Corridor,2,13265
2014,D11,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,90,Junction Area,854,13266
2016,D43,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,135,Morningside,2,13267
2016,D14,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,80,Palmerston-Little Italy,2,13268
2015,D32,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,40,St.Andrew-Windfields,4,13269
2022,D14,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,78,Kensington-Chinatown,13,13270
2021,D41,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,120,Clairlea-Birchmount,826,13271
2016,D32,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,152,East Willowdale,154,13272
2015,D43,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,143,West Rouge,6,13273
2022,D22,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,15,Kingsway South,3,13274
2019,D12,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,23,Pelmo Park-Humberlea,8,13275
2018,D31,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,155,Downsview,13,13276
2014,D13,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,101,Forest Hill South,2,13277
2017,D22,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,13,Etobicoke West Mall,64,13278
2015,D53,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,71,Cabbagetown-South St.James Town,5,13279
2022,D32,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,39,Bedford Park-Nortown,8,13280
2021,D43,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,143,West Rouge,17,13281
2021,D13,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,109,Caledonia-Fairbank,65,13282
2020,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,74,North St.James Town,3,13283
2014,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,101,Forest Hill South,22,13284
2016,D55,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,61,Taylor-Massey,53,13285
2020,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,173,North Toronto,51,13286
2018,D55,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,68,North Riverdale,62,13287
2018,D33,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,44,Flemingdon Park,54,13288
2019,D55,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,62,East End-Danforth,112,13289
2016,D42,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,145,Malvern West,116,13290
2020,D53,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,56,Leaside-Bennington,661,13291
2022,D23,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,5,Elms-Old Rexdale,15,13292
2021,D55,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,64,Woodbine Corridor,3,13293
2019,D41,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,123,Cliffcrest,1,13294
2016,D13,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,171,Junction-Wallace Emerson,9,13295
2014,D14,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,81,Trinity-Bellwoods,4,13296
2019,D22,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,9,Edenbridge-Humber Valley,2,13297
2015,D31,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,155,Downsview,2,13298
2017,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,97,Yonge-St.Clair,1,13299
2021,D43,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,139,Scarborough Village,53,13300
2022,D22,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,9,Edenbridge-Humber Valley,9,13301
2018,D53,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,23,13302
2017,D31,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,21,Humber Summit,44,13303
2015,D14,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,85,South Parkdale,1,13304
2019,D32,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,151,Yonge-Doris,162,13305
2016,D14,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,NSA,NSA,245,13306
2016,D42,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,116,Steeles,52,13307
2022,NSA,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,116,Steeles,2,13308
2016,D32,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,32,Englemount-Lawrence,11,13309
2021,D52,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,164,Wellington Place,728,13310
2015,D13,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,107,Oakwood Village,1,13311
2015,D33,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,43,Victoria Village,1,13312
2022,D42,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Unknown,146,Malvern East,3,13313
2022,D43,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,136,West Hill,74,13314
2016,D23,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Youth,2,Mount Olive-Silverstone-Jamestown,7,13315
2019,D23,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,10,Princess-Rosethorn,4,13316
2019,D31,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,21,Humber Summit,676,13317
2021,D42,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,143,West Rouge,1,13318
2017,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,44,Flemingdon Park,329,13319
2017,D13,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Youth,NSA,NSA,2,13320
2015,D11,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,5,13321
2019,D53,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,99,Mount Pleasant East,107,13322
2014,D32,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,31,Yorkdale-Glen Park,2,13323
2019,D33,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,49,Bayview Woods-Steeles,1,13324
2021,D33,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,116,Steeles,6,13325
2018,D14,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,84,Little Portugal,2,13326
2018,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,101,Forest Hill South,6,13327
2021,D33,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,48,Hillcrest Village,1,13328
2019,D22,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,85,South Parkdale,1,13329
2016,D11,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,84,Little Portugal,9,13330
2015,D55,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,57,Broadview North,40,13331
2018,D11,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,114,Lambton Baby Point,8,13332
2021,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,167,Church-Wellesley,21,13333
2014,D12,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,29,Maple Leaf,12,13334
2020,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,96,Casa Loma,28,13335
2021,D13,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,101,Forest Hill South,413,13336
2018,D33,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,47,Don Valley Village,1,13337
2015,D22,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,20,Alderwood,1,13338
2014,D55,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,43,Victoria Village,145,13339
2022,D42,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,146,Malvern East,436,13340
2016,D14,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,163,Fort York-Liberty Village,18,13341
2014,D32,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,151,Yonge-Doris,53,13342
2017,D41,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,119,Wexford/Maryvale,1077,13343
2016,D51,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,72,Regent Park,165,13344
2021,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,102,Forest Hill North,1,13345
2016,D42,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,145,Malvern West,1,13346
2020,D32,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,38,Lansing-Westgate,4,13347
2018,D51,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,71,Cabbagetown-South St.James Town,332,13348
2015,D12,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,115,Mount Dennis,240,13349
2018,D31,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,154,Oakdale-Beverley Heights,39,13350
2021,D12,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,112,Beechborough-Greenbrook,9,13351
2019,D22,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,20,Alderwood,3,13352
2015,D23,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,2,Mount Olive-Silverstone-Jamestown,25,13353
2019,D43,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,157,Bendale South,12,13354
2021,D41,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,123,Cliffcrest,4,13355
2016,D42,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,156,Bendale-Glen Andrew,3,13356
2015,D55,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,67,Playter Estates-Danforth,2,13357
